"ref_area.label","indicator.label","source.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Armenia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Encuesta sobre la Mano de Obra por Hogares","Sexo: Hombres","Educación (Niveles agregados): Total","2018",2.251,,,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 75 años"
"Armenia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Encuesta sobre la Mano de Obra por Hogares","Sexo: Hombres","Educación (Niveles agregados): Menos que básico","2018",0,,,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 75 años"
"Armenia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Encuesta sobre la Mano de Obra por Hogares","Sexo: Hombres","Educación (Niveles agregados): Básico","2018",0.329,,,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 75 años"
"Armenia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Encuesta sobre la Mano de Obra por Hogares","Sexo: Hombres","Educación (Niveles agregados): Intermedio","2018",1.922,,,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 75 años"
"Armenia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Encuesta sobre la Mano de Obra por Hogares","Sexo: Hombres","Educación (Niveles agregados): Avanzado","2018",0,,,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 75 años"
"Armenia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Encuesta sobre la Mano de Obra por Hogares","Sexo: Hombres","Educación (Niveles agregados): Nivel desconocido","2018",0,,,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 75 años"
"Armenia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Encuesta sobre la Mano de Obra por Hogares","Sexo: Mujeres","Educación (Niveles agregados): Total","2018",0.866,,,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 75 años"
"Armenia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Encuesta sobre la Mano de Obra por Hogares","Sexo: Mujeres","Educación (Niveles agregados): Menos que básico","2018",0,,,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 75 años"
"Armenia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Encuesta sobre la Mano de Obra por Hogares","Sexo: Mujeres","Educación (Niveles agregados): Básico","2018",0,,,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 75 años"
"Armenia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Encuesta sobre la Mano de Obra por Hogares","Sexo: Mujeres","Educación (Niveles agregados): Intermedio","2018",0.479,,,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 75 años"
"Armenia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Encuesta sobre la Mano de Obra por Hogares","Sexo: Mujeres","Educación (Niveles agregados): Avanzado","2018",0.387,,,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 75 años"
"Armenia","Flujo de entrada de de ciudadanos extranjeros en edad de trabajar según sexo y educación (miles)","EFT - Encuesta sobre la Mano de Obra por Hogares","Sexo: Mujeres","Educación (Niveles agregados): Nivel desconocido","2018",0,,,"Cobertura de la población: Excluye a la población institucional | Cobertura de edad - edad máxima: 75 años"
